model_name,fpr,tpr
Logistic Regression,0.005604132376205841,0.009853212007242266
Logistic Regression,0.005623315850793492,0.00986875335110227
Logistic Regression,0.005636104833851926,0.00990760671075228
Logistic Regression,0.005648893816910361,0.009915377382682281
Logistic Regression,0.005657846105051265,0.009930918726542283
Logistic Regression,0.005671913986415542,0.009985313430052297
Logistic Regression,0.005683424071168133,0.009985313430052297
Logistic Regression,0.005706444240673314,0.010016396117772304
Logistic Regression,0.0057256277152609655,0.010039708133562308
Logistic Regression,0.005743532291542773,0.01004747880549231
Logistic Regression,0.005762715766130425,0.010078561493212318
Logistic Regression,0.0057806203424122325,0.010109644180932326
Logistic Regression,0.005793409325470666,0.010109644180932326
Logistic Regression,0.005807477206834944,0.010117414852862328
Logistic Regression,0.005830497376340125,0.010132956196722331
Logistic Regression,0.00584712305431609,0.010140726868652332
Logistic Regression,0.005875258817044645,0.010202892244092347
Logistic Regression,0.0058867689017972355,0.010202892244092347
Logistic Regression,0.0059033945797732,0.010226204259882353
Logistic Regression,0.005911067969608261,0.010249516275672357
Logistic Regression,0.005928972545890069,0.010272828291462362
Logistic Regression,0.005940482630642659,0.010280598963392364
Logistic Regression,0.005960945003536154,0.010311681651112372
Logistic Regression,0.005971176189982901,0.010334993666902378
Logistic Regression,0.005991638562876396,0.01035053501076238
Logistic Regression,0.006014658732381577,0.01035053501076238
Logistic Regression,0.006031284410357542,0.010366076354622384
Logistic Regression,0.0060389578001926025,0.010373847026552386
Logistic Regression,0.00605302568155688,0.01038938837041239
Logistic Regression,0.006063256868003627,0.01038938837041239
Logistic Regression,0.006082440342591278,0.010404929714272393
Logistic Regression,0.006092671529038025,0.010412700386202395
Logistic Regression,0.00610929720701399,0.010436012401992401
Logistic Regression,0.006124643986684111,0.010451553745852405
Logistic Regression,0.006142548562965919,0.010474865761642409
Logistic Regression,0.006150221952800979,0.01048263643357241
Logistic Regression,0.006166847630776943,0.010498177777432414
Logistic Regression,0.006178357715529534,0.010513719121292418
Logistic Regression,0.006188588901976282,0.010529260465152422
Logistic Regression,0.006198820088423029,0.010552572480942428
Logistic Regression,0.006207772376563933,0.010583655168662434
Logistic Regression,0.006215445766398993,0.010599196512522438
Logistic Regression,0.006220561359622367,0.010599196512522438
Logistic Regression,0.0062320714443749575,0.01060696718445244
Logistic Regression,0.006242302630821705,0.010622508528312443
Logistic Regression,0.006252533817268452,0.01064582054410245
Logistic Regression,0.006265322800326887,0.010653591216032451
Logistic Regression,0.0062742750884677905,0.010661361887962453
Logistic Regression,0.006280669579997007,0.010684673903752457
Logistic Regression,0.006289621868137911,0.010715756591472465
Logistic Regression,0.006308805342725562,0.010746839279192472
Logistic Regression,0.006316478732560623,0.010762380623052476
Logistic Regression,0.006324152122395683,0.01078569263884248
Logistic Regression,0.006334383308842431,0.01078569263884248
Logistic Regression,0.006344614495289178,0.010801233982702484
Logistic Regression,0.006356124580041768,0.010809004654632486
Logistic Regression,0.006374029156323576,0.01082454599849249
Logistic Regression,0.006385539241076168,0.010847858014282495
Logistic Regression,0.0063983282241346015,0.010886711373932503
Logistic Regression,0.006406001613969662,0.010886711373932503
Logistic Regression,0.006417511698722253,0.010902252717792507
Logistic Regression,0.00642390619025147,0.010902252717792507
Logistic Regression,0.006434137376698217,0.010910023389722509
Logistic Regression,0.006443089664839121,0.010933335405512515
Logistic Regression,0.006462273139426772,0.010948876749372519
Logistic Regression,0.006469946529261833,0.01095664742130252
Logistic Regression,0.00648017771570858,0.010979959437092525
Logistic Regression,0.006486572207237797,0.01100327145288253
Logistic Regression,0.006492966698767014,0.011011042124812532
Logistic Regression,0.006510871275048822,0.011011042124812532
Logistic Regression,0.006521102461495569,0.011049895484462542
Logistic Regression,0.006535170342859847,0.01108097817218255
Logistic Regression,0.006546680427612438,0.011119831531832557
Logistic Regression,0.006556911614059185,0.01112760220376256
Logistic Regression,0.006565863902200089,0.011143143547622563
Logistic Regression,0.006572258393729306,0.011143143547622563
