city,feature,feature_value,shap_value
Toronto,hour,2.0,0.384386270659844
Toronto,hour,13.0,0.060418996636183615
Toronto,hour,23.0,-0.22878722159826884
Toronto,hour,6.0,-0.23900217751513775
Toronto,hour,12.0,0.0735570022328844
Toronto,hour,12.0,0.09732487684779002
Toronto,hour,20.0,-0.25056227200542525
Toronto,hour,22.0,-0.26342617212489605
Toronto,hour,16.0,0.0647001334763398
Toronto,hour,18.0,-0.14079843336612413
Toronto,hour,0.0,0.4096199541833986
Toronto,hour,6.0,-0.27199913605139653
Toronto,hour,13.0,0.05317018965719988
Toronto,hour,14.0,0.09740783398836753
Toronto,hour,20.0,-0.22483166258392748
Toronto,hour,0.0,0.4607666309207139
Toronto,hour,7.0,-0.29488492708447506
Toronto,hour,22.0,-0.2203329544519797
Toronto,hour,0.0,0.45659073214312407
Toronto,hour,2.0,0.5267081199957198
Toronto,hour,2.0,0.40790641736623473
Toronto,hour,7.0,-0.43407165232632633
Toronto,hour,18.0,-0.12223872615430167
Toronto,hour,19.0,-0.2269314739355993
Toronto,hour,8.0,-0.1677022516450769
Toronto,hour,11.0,0.03079192542122187
Toronto,hour,12.0,0.06178541449091008
Toronto,hour,16.0,0.05923359000778131
Toronto,hour,0.0,0.398877675305735
Toronto,hour,4.0,0.3903342171210012
Toronto,hour,11.0,0.06420133148692252
Toronto,hour,18.0,-0.12141669759453629
Toronto,hour,18.0,-0.09751284743018213
Toronto,hour,18.0,-0.07715835022906585
Toronto,hour,20.0,-0.2735104965476205
Toronto,hour,22.0,-0.2778640551183767
Toronto,hour,1.0,0.4464744717083216
Toronto,hour,15.0,0.08084304173576982
Toronto,hour,20.0,-0.2756318249157807
Toronto,hour,21.0,-0.268785321143521
Toronto,hour,5.0,0.3701343140767787
Toronto,hour,7.0,-0.2859628980909091
Toronto,hour,12.0,0.04799417012319949
Toronto,hour,13.0,0.05869821528824847
Toronto,hour,0.0,0.3287357976580013
Toronto,hour,2.0,0.4703157887757386
Toronto,hour,11.0,0.023098586117576193
Toronto,hour,21.0,-0.26642564422276743
Toronto,hour,16.0,0.03746289177906847
Toronto,hour,2.0,0.5271729099447591
Toronto,hour,2.0,0.43251755279885545
Toronto,hour,4.0,0.5221341208406534
Toronto,hour,4.0,0.43667067063384846
Toronto,hour,10.0,-0.03577933688035171
Toronto,hour,11.0,-0.00964919857552617
Toronto,hour,17.0,0.03493011070688802
Toronto,hour,21.0,-0.17750176443549787
Toronto,hour,3.0,0.4781612154917955
Toronto,hour,11.0,0.03157615122222816
Toronto,hour,15.0,0.07091998335924958
Toronto,hour,19.0,-0.27337267826281025
Toronto,hour,8.0,-0.18669343867524632
Toronto,hour,8.0,-0.17856219567801326
Toronto,hour,11.0,0.0435040215390146
Toronto,hour,13.0,0.08751864415739687
Toronto,hour,14.0,0.08275515372844433
Toronto,hour,1.0,0.43973122214178906
Toronto,hour,11.0,0.03449910795567201
Toronto,hour,13.0,0.04769719737258347
Toronto,hour,16.0,0.09171037362783509
Toronto,hour,2.0,0.3892431106918827
Toronto,hour,5.0,0.3713139284675077
Toronto,hour,13.0,0.05965342401813859
